oral,,intrathoracic,,oral_auto,,intrathoracic_auto,
X,Y,X,Y,X,Y,X,Y
-0.061731401436746,1307.01047960937,-0.092779739437477,3078.73346954919,0.235157920944476,87.7745884999066,0.007827662666747,3094.89427437485
0.24144648727627,89.8438537234902,0.195482771216365,2918.20823764409,0.494236874811907,689.3122108935,0.367495790153209,3952.81544621686
0.437477170339705,947.859977652237,0.401254109338853,5548.63358814508,0.642062371206257,314.324501939775,0.644001907763742,3682.80543288194
0.571411177401681,554.863358814509,0.561974917813223,2918.20823764409,0.725949311836505,149.0464485802,0.878155303143429,8542.33008983923
0.956167052234263,22.3273514877728,0.895592353585779,9478.59977652237,0.825969068825539,68.1865929505062,1.0811305822109,17580.0354100244
1.29039327894801,65.1558610363937,1.22920978935833,30787.3346954918,1.04023361490872,30.7236334921284,1.32384519250429,27741.69246941
1.93358090831608,472.518269358686,1.91349080725679,16192.0682445937,1.35063289130899,81.2382036273185,1.69361730798389,20174.7183918706
2.95391452575186,525.932770885966,2.90186290028004,49851.0624458552,1.60112218549056,175.418886237428,2.01529864833096,18655.4577160255
3.9431998051869,1378.90670607985,3.92554486789237,30787.3346954918,1.88329520732203,390.587066772159,2.40035413254183,29226.3420325206
4.93674662121028,1708.27639380871,4.86490929014976,52593.2770885966,2.43943592647643,497.629981337491,2.76429807657567,44773.7196940661
5.90381103129186,2232.73514877728,5.85662973334957,89843.85372349,2.8163931032027,500.339774539992,3.0967262554303,47303.5744835584
6.92505783513941,2116.3202882234,6.88061609643249,52593.2770885966,3.13911117096917,615.017778210236,3.4468941898371,38678.7629458907
7.92225739680994,1378.90670607985,7.87233653963229,89843.85372349,3.54027065926316,934.310960465383,3.82708039945875,32018.2140741759
8.91489102642153,2005.97530110041,8.92584926336296,29182.0823764409,3.86766417358248,1284.01573502491,4.15558510409177,34538.0685696634
9.93613783026909,1901.38370407198,9.91056861073907,170827.639380871,4.21737971784263,1458.43698776221,4.52017615499894,43682.0251303423
,,,,4.57800650831976,1573.64417301355,4.86600578389683,52730.7284153337
,,,,4.89753721808959,1681.89177753779,5.24242346546121,66617.936169178
,,,,5.2444873652086,1883.96857268377,5.58042673947653,80251.6014681591
,,,,5.68413035171269,2171.91910163896,5.92831438806555,92087.808003843
,,,,6.01462361787227,2362.22701715264,6.33358477069258,73373.3948318205
,,,,6.60433269620873,2227.66527033183,6.69542064773825,59207.7061883192
,,,,6.9230582057744,2171.91910163896,7.01598808492749,56999.2054909999
,,,,7.30632321285399,1832.07932529845,7.41282573187009,72778.1275161327
,,,,7.65768891472102,1556.64491326978,7.77972948240518,90435.8240489405
,,,,7.99096462350301,1416.80164908347,8.10134136458766,78314.1971800507
,,,,8.37820160858648,1634.61685190435,8.46968058385732,51225.3759354042
,,,,8.72615393779437,1875.21941373142,8.82217819655448,33512.623291739
,,,,8.96242812246576,2007.09031506596,9.16754944833934,46669.5343435196
,,,,9.4723066169832,1955.44750055225,9.49868219734475,84546.4189235113
,,,,9.82274620998923,1955.44750055225,9.8616259438087,154439.726940144
,,,,10.029824151311,1955.44750055225,,
,,,,-0.062035796907342,1378.90670607985,,
