fly_number,time,N_17,prop_17,N_10,prop_10,N_reassortant,prop_reassortant,total,titre
24,8,19,1,0,0,0,0,19,14000
29,8,16,1,0,0,0,0,16,480
105,7,14,1,0,0,0,0,14,250
23,3,7,1,0,0,0,0,7,500
28,7,0,0,10,1,0,0,10,180
101,7,0,0,11,1,0,0,11,70000
125,10,0,0,15,1,0,0,15,540
