fly_number,time,gap,total,N_reassortant,prop_reassortant,N_10,prop_10,N_17,prop_17,titre
2,15,0,28,0,0,0,0,28,1,2600
5D,7,0,2,0,0,0,0,2,1,20
3,16,0,8,0,0,0,0,8,1,100
8,15,0,33,17,0.52,16,0.48,0,0,3600
13,10,0,30,10,0.33,18,0.6,2,0.07,4000
2C,11,0,36,12,0.33,0,0,24,0.67,38000
3E,13,0,14,1,0.07,13,0.93,0,0,300
4D,7,0,9,7,0.78,0,0,2,0.22,40
8F,15,0,8,6,0.75,2,0.25,0,0,100
9D,7,0,32,20,0.63,2,0.06,10,0.31,17000
10E,13,0,18,2,0.11,1,0.06,15,0.83,200
